id|year|parl_code|state_code|name|party_code|votes
52|2004|P8|N11|Rohani Bakar|PKR|4665
53|2004|P9|N12|Datuk Ahmad Bashah Md Hanipah|UMNO|11091
54|2004|P9|N12|Dr Ismail Salleh|PAS|5054
55|2004|P9|N13|Datuk Chong Itt Chew|MCA|9094
56|2004|P9|N13|Yap Shui Fah|PKR|1876
57|2004|P9|N14|Fadzil Hanafi|UMNO|9095
58|2004|P9|N14|Mohamed Sabu|PAS|6268
59|2004|P10|N15|Abdul Muthalib Harun|UMNO|10144
60|2004|P10|N15|Amiruddin Hamzah|PAS|10240
61|2004|P10|N16|Datuk Seri Syed Razak Syed Zain|UMNO|14468
62|2004|P10|N16|Saifuddin Nasution Ismail|PKR|6527
63|2004|P10|N17|Mohd Jamil Idrus|UMNO|12584
